criterion,kind,AC_OvP,AC_OvF,AC_PvF,AC_OvE,AC_PvE,AC_FvE,AC_multi,AC_multi
dsm_a,DSM,0.88,0.901,0.871,,,,0.884,0.884
dsm_b,DSM,0.943,0.964,0.939,,,,0.949,0.949
dsm_c,DSM,0.891,0.912,0.912,,,,0.905,0.905
dsm_d,DSM,0.918,0.912,0.94,,,,0.924,0.924
dsm_e,DSM,0.967,0.978,0.982,,,,0.976,0.976
dsm_g,DSM,0.986,0.997,0.99,,,,0.991,0.991
ec_threat,E&C,0.624,0.687,0.596,,,,0.636,0.636
ec_appraisals,E&C,0.727,0.767,0.7,,,,0.731,0.731
ec_memory,E&C,0.609,0.684,0.629,,,,0.641,0.641
ec_strategies,E&C,0.663,0.616,0.599,,,,0.626,0.626
ec_triggers,E&C,0.928,0.948,0.905,,,,0.927,0.927
